num,name,cik
1,AMERICAN SOFTWARE  -CL A,713425
2,AVAYA HLDGS CORP,1418100
3,BLAQCLOUDS INC,
4,CHINA YANYUN YHU NTL ED GRP,
5,FLEXSHARES IBOXX 3-YR TAR FD,
6,FLEXSHARES IBOXX 5-YR TAR FD,
7,ISHARES IBOXX HIGH YLD CP BD,
8,ISHARES IBOXX INVST GR CP BD,
9,LIVE MICROSYSTEMS INC,
10,MEDIATECHNICS CORP,
11,QUANTGATE SYSTEMS INC,
12,SAILPOINT TECHNO HLDG,1627857
13,VMWARE INC -CL A,1124610
14,ZOOM VIDEO COMUNICATIONS INC,1585521
